,EVENT_DATE,EVENT_TYPE,ADMIN1,FATALITIES
82,1998-05-10,Riots/Protests,Isiolo,0
83,1998-05-10,Riots/Protests,Kajiado,0
84,1998-05-10,Riots/Protests,Kajiado,0
85,1998-05-10,Riots/Protests,Vihiga,0
86,1998-05-10,Riots/Protests,Nandi,0
87,1998-05-10,Riots/Protests,Laikipia,0
88,1998-05-10,Riots/Protests,Siaya,0
89,1998-05-10,Violence against civilians,Kilifi,0
90,1998-05-10,Violence against civilians,Taita Taveta,0
91,1998-05-10,Violence against civilians,Kilifi,0
92,1998-05-10,Violence against civilians,Siaya,0
93,1998-05-10,Violence against civilians,Tharaka-Nithi,0
94,1998-05-10,Violence against civilians,Vihiga,0
95,1998-05-10,Violence against civilians,Isiolo,0
96,1998-05-10,Violence against civilians,Siaya,0
97,1998-05-10,Violence against civilians,Laikipia,0
98,1998-05-10,Violence against civilians,Kiambu,0
99,1998-05-10,Violence against civilians,Kajiado,0
100,1998-05-10,Violence against civilians,Nyeri,0
101,1998-05-10,Violence against civilians,Nairobi,0
102,1998-05-10,Riots/Protests,Mombasa,0
103,1998-05-10,Riots/Protests,Siaya,0
104,1998-06-02,Riots/Protests,Nairobi,0
105,1998-06-12,Violence against civilians,Trans Nzoia,0
106,1998-07-08,Remote violence,Nairobi,213
107,1998-07-10,Riots/Protests,Nairobi,0
108,1998-08-03,Violence against civilians,Nairobi,1
109,1998-09-05,Riots/Protests,Trans Nzoia,0
110,1998-09-05,Riots/Protests,Trans Nzoia,0
111,1998-10-04,Riots/Protests,Nairobi,0
112,1998-10-04,Riots/Protests,Nairobi,1
113,1998-10-04,Violence against civilians,Nairobi,0
114,1998-10-04,Riots/Protests,Nairobi,0
115,1998-10-11,Battle-No change of territory,Nairobi,0
116,1998-11-01,Violence against civilians,Laikipia,0
117,1998-11-01,Violence against civilians,Laikipia,0
118,1998-11-01,Violence against civilians,Laikipia,0
119,1998-11-01,Battle-No change of territory,Laikipia,0
120,1998-11-10,Violence against civilians,Nairobi,0
121,1998-11-10,Battle-No change of territory,Garissa,3
122,1998-12-01,Violence against civilians,Laikipia,0
123,1998-12-01,Battle-No change of territory,Laikipia,0
124,1999-01-02,Riots/Protests,Nairobi,0
125,1999-01-02,Riots/Protests,Nairobi,0
126,1999-01-02,Riots/Protests,Nairobi,0
127,1999-01-02,Riots/Protests,Nairobi,0
128,1999-01-02,Riots/Protests,Nairobi,0
129,1999-01-02,Riots/Protests,Nairobi,0
130,1999-01-02,Riots/Protests,Nairobi,0
131,1999-01-02,Riots/Protests,Nairobi,0
132,1999-01-02,Riots/Protests,Nairobi,0
133,1999-01-12,Battle-No change of territory,Wajir,0
134,1999-02-01,Violence against civilians,Tana River,0
135,1999-04-08,Strategic development,Lamu,0
136,1999-05-03,Riots/Protests,Nyeri,0
137,1999-05-03,Riots/Protests,Nyeri,0
138,1999-05-03,Violence against civilians,Nyeri,50
139,1999-05-03,Violence against civilians,Kisumu,0
140,1999-05-03,Violence against civilians,Nyeri,50
141,1999-05-03,Riots/Protests,Nyeri,0
142,1999-05-03,Riots/Protests,Nyeri,0
143,1999-05-03,Battle-No change of territory,Nyeri,0
144,1999-05-06,Battle-No change of territory,Marsabit,0
145,1999-05-08,Strategic development,Wajir,0
146,1999-05-08,Strategic development,Busia,0
147,1999-06-05,Strategic development,Uasin Gishu,0
148,1999-06-06,Strategic development,Marsabit,0
149,1999-06-06,Battle-No change of territory,Marsabit,0
150,1999-06-06,Battle-No change of territory,Marsabit,6
151,1999-06-12,Riots/Protests,Makueni,0
152,1999-06-12,Riots/Protests,Makueni,0
153,1999-06-12,Riots/Protests,Makueni,0
154,1999-07-07,Riots/Protests,Nairobi,0
155,1999-07-07,Riots/Protests,Nairobi,0
156,1999-07-07,Riots/Protests,Nairobi,0
157,1999-07-08,Violence against civilians,Tana River,0
158,1999-07-09,Battle-No change of territory,Garissa,0
159,1999-08-01,Riots/Protests,Nairobi,0
160,1999-08-01,Violence against civilians,Kisumu,0
161,1999-08-01,Violence against civilians,Nairobi,0
162,1999-08-05,Remote violence,Marsabit,0
163,1999-08-05,Battle-No change of territory,Marsabit,0
164,1999-08-07,Riots/Protests,Nairobi,0
165,1999-08-07,Riots/Protests,Nairobi,0
166,1999-08-09,Battle-No change of territory,Nakuru,1
167,1999-08-12,Violence against civilians,Laikipia,0
168,1999-08-12,Battle-No change of territory,Laikipia,0
169,1999-09-05,Battle-No change of territory,Isiolo,0
170,1999-09-08,Violence against civilians,Marsabit,0
171,1999-09-11,Violence against civilians,Kakamega,1
172,1999-10-03,Violence against civilians,Marsabit,0
173,1999-10-03,Violence against civilians,Marsabit,0
174,1999-10-03,Violence against civilians,Marsabit,0
175,1999-10-03,Violence against civilians,Marsabit,0
176,1999-10-03,Battle-No change of territory,Marsabit,3
177,1999-10-03,Battle-No change of territory,Marsabit,0
178,1999-10-06,Riots/Protests,Nairobi,0
179,1999-10-06,Violence against civilians,Nairobi,0
180,1999-11-06,Riots/Protests,Kitui,0
181,1999-12-01,Riots/Protests,Embu,0
182,1999-12-01,Violence against civilians,Embu,0
183,1999-12-01,Riots/Protests,Embu,0
184,1999-12-06,Riots/Protests,Embu,0
185,1999-12-08,Battle-No change of territory,Kwale,6
186,2000-01-04,Riots/Protests,Kiambu,0
187,2000-01-05,Battle-No change of territory,Isiolo,10
188,2000-01-12,Battle-No change of territory,Nairobi,0
189,2000-01-12,Violence against civilians,Nairobi,0
190,2000-02-04,Battle-No change of territory,Kajiado,11
191,2000-02-05,Battle-No change of territory,Isiolo,10
192,2000-03-01,Battle-No change of territory,Samburu,10
193,2000-03-04,Battle-No change of territory,Kwale,3
194,2000-03-04,Battle-No change of territory,Marsabit,3
195,2000-03-10,Riots/Protests,Nairobi,0
196,2000-03-10,Violence against civilians,Nairobi,1
197,2000-03-10,Violence against civilians,Nairobi,2
198,2000-03-10,Battle-No change of territory,Machakos,0
199,2000-03-11,Riots/Protests,Nairobi,0
200,2000-03-12,Violence against civilians,Elgeyo-Marakwet,0
201,2000-04-04,Battle-No change of territory,Marsabit,0
202,2000-04-07,Battle-No change of territory,Mandera,4
203,2000-04-07,Violence against civilians,Mandera,16
204,2000-04-09,Violence against civilians,Nyeri,6
205,2000-04-09,Violence against civilians,Isiolo,12
206,2000-04-10,Riots/Protests,Machakos,1
207,2000-04-11,Violence against civilians,Machakos,0
208,2000-05-01,Strategic development,Mombasa,0
209,2000-05-04,Battle-No change of territory,Marsabit,0
210,2000-05-06,Riots/Protests,Nairobi,0
211,2000-05-08,Battle-No change of territory,Narok,2
212,2000-05-10,Riots/Protests,Mombasa,0
213,2000-05-10,Riots/Protests,Nairobi,0
214,2000-05-12,Battle-No change of territory,Mandera,6
215,2000-06-01,Riots/Protests,Laikipia,3
216,2000-06-04,Battle-No change of territory,Marsabit,0
217,2000-06-08,Violence against civilians,Wajir,1
218,2000-06-08,Violence against civilians,Marsabit,1
219,2000-06-09,Riots/Protests,Nairobi,0
220,2000-06-09,Riots/Protests,Nairobi,0
221,2000-06-09,Remote violence,Isiolo,0
222,2000-06-09,Riots/Protests,Nairobi,0
223,2000-06-10,Battle-No change of territory,Nairobi,0
224,2000-06-11,Violence against civilians,Kisumu,0
225,2000-07-01,Violence against civilians,Wajir,1
226,2000-07-06,Riots/Protests,Mombasa,0
227,2000-07-06,Violence against civilians,Kajiado,2
228,2000-07-08,Violence against civilians,Nairobi,1
229,2000-07-08,Violence against civilians,Wajir,4
230,2000-07-11,Riots/Protests,Mombasa,0
231,2000-08-04,Battle-No change of territory,Trans Nzoia,0
232,2000-08-06,Violence against civilians,Wajir,3
233,2000-08-08,Riots/Protests,Nairobi,0
234,2000-08-10,Riots/Protests,Nairobi,0
235,2000-08-10,Riots/Protests,Nairobi,0
236,2000-08-10,Violence against civilians,Nairobi,0
237,2000-08-10,Battle-No change of territory,Nairobi,0
238,2000-08-10,Battle-No change of territory,Nairobi,0
239,2000-09-02,Riots/Protests,Isiolo,0
240,2000-09-05,Violence against civilians,Muranga,0
241,2000-09-06,Battle-No change of territory,Isiolo,2
242,2000-09-07,Violence against civilians,Marsabit,13
243,2000-09-07,Violence against civilians,Marsabit,1
244,2000-09-08,Violence against civilians,Nairobi,0
245,2000-10-04,Violence against civilians,Trans Nzoia,1
246,2000-10-06,Riots/Protests,Laikipia,1
247,2000-10-07,Riots/Protests,Nairobi,0
248,2000-10-11,Riots/Protests,Mombasa,0
249,2000-11-03,Violence against civilians,Isiolo,10
250,2000-11-05,Violence against civilians,Isiolo,2
251,2000-11-08,Violence against civilians,Isiolo,2
252,2000-11-11,Violence against civilians,Laikipia,0
253,2000-12-06,Riots/Protests,Nairobi,0
254,2000-12-08,Battle-No change of territory,Wajir,1
255,2001-01-02,Riots/Protests,Nairobi,0
256,2001-01-05,Battle-No change of territory,Kisii,3
257,2001-01-07,Battle-No change of territory,Turkana,1
258,2001-01-11,Violence against civilians,Nairobi,0
259,2001-01-11,Strategic development,Mombasa,0
260,2001-02-07,Violence against civilians,Turkana,0
261,2001-02-07,Battle-No change of territory,Turkana,0
262,2001-02-08,Violence against civilians,Nairobi,1
263,2001-03-01,Violence against civilians,Nairobi,11
264,2001-03-01,Violence against civilians,Lamu,3
265,2001-03-07,Battle-No change of territory,Turkana,0
266,2001-03-07,Battle-No change of territory,Turkana,2
267,2001-03-12,Violence against civilians,Tana River,0
268,2001-03-12,Battle-No change of territory,Nairobi,12
269,2001-04-01,Battle-No change of territory,Kisumu,0
270,2001-04-01,Battle-No change of territory,Kisumu,0
271,2001-04-02,Violence against civilians,Kisii,0
272,2001-04-03,Battle-No change of territory,Tana River,0
273,2001-04-06,Battle-No change of territory,Kakamega,0
274,2001-04-06,Battle-No change of territory,Kakamega,0
275,2001-04-06,Battle-No change of territory,Kisii,0
276,2001-04-06,Battle-No change of territory,Kisii,21
277,2001-04-06,Battle-No change of territory,Nakuru,0
278,2001-04-07,Violence against civilians,Nakuru,2
279,2001-04-07,Violence against civilians,Turkana,0
280,2001-04-07,Battle-No change of territory,Turkana,0
281,2001-04-09,Battle-No change of territory,Tana River,3
282,2001-04-12,Battle-No change of territory,Tana River,0
283,2001-05-03,Battle-No change of territory,Tana River,0
284,2001-05-05,Violence against civilians,Marsabit,0
285,2001-05-07,Battle-No change of territory,Marsabit,0
286,2001-05-07,Battle-No change of territory,Turkana,2
287,2001-05-10,Violence against civilians,Tana River,0
288,2001-05-12,Violence against civilians,Nairobi,12
289,2001-06-03,Battle-No change of territory,Tana River,0
290,2001-06-07,Battle-No change of territory,Marsabit,0
291,2001-06-07,Battle-No change of territory,Marsabit,3
292,2001-06-07,Battle-No change of territory,Marsabit,1
293,2001-06-07,Battle-No change of territory,Marsabit,1
294,2001-06-07,Battle-No change of territory,Turkana,5
295,2001-06-12,Violence against civilians,Tana River,40
296,2001-07-02,Battle-No change of territory,Nairobi,2
297,2001-07-03,Riots/Protests,Kwale,0
298,2001-07-03,Battle-No change of territory,Tana River,0
299,2001-07-03,Riots/Protests,Muranga,0
300,2001-07-10,Battle-No change of territory,Kiambu,4
301,2001-07-10,Battle-No change of territory,Nairobi,0
302,2001-08-02,Battle-No change of territory,Samburu,40
303,2001-08-12,Battle-No change of territory,Tana River,20
304,2001-09-04,Violence against civilians,Garissa,2
305,2001-09-04,Battle-No change of territory,Narok,0
306,2001-09-04,Battle-No change of territory,Kisii,0
307,2001-09-07,Battle-No change of territory,Machakos,0
308,2001-10-02,Violence against civilians,Marsabit,0
309,2001-10-02,Riots/Protests,Kisumu,0
310,2001-10-02,Riots/Protests,Kisumu,0
311,2001-10-02,Riots/Protests,Kisumu,0
312,2001-10-12,Battle-No change of territory,Nakuru,0
313,2001-11-01,Violence against civilians,Marsabit,2
314,2001-11-01,Violence against civilians,Marsabit,2
315,2001-11-01,Battle-No change of territory,Marsabit,8
316,2001-11-01,Battle-No change of territory,Marsabit,8
317,2001-11-07,Battle-No change of territory,Tana River,2
318,2001-11-08,Battle-No change of territory,Narok,2
319,2001-12-02,Violence against civilians,Nairobi,0
320,2001-12-07,Battle-No change of territory,Tana River,0
321,2001-12-09,Violence against civilians,Turkana,8
322,2001-12-10,Riots/Protests,Nairobi,0
323,2002-01-02,Riots/Protests,Nyeri,2
324,2002-01-03,Violence against civilians,Nakuru,26
325,2002-01-07,Violence against civilians,Turkana,10
326,2002-01-07,Battle-No change of territory,West Pokot,11
327,2002-01-07,Battle-No change of territory,Trans Nzoia,3
328,2002-01-07,Battle-No change of territory,Turkana,10
329,2002-01-12,Violence against civilians,Kisii,0
330,2002-02-10,Riots/Protests,Mombasa,0
331,2002-03-01,Violence against civilians,Trans Nzoia,1
332,2002-03-02,Violence against civilians,Samburu,1
333,2002-03-02,Battle-No change of territory,Nakuru,1
334,2002-03-07,Violence against civilians,West Pokot,1
335,2002-03-07,Battle-No change of territory,Kericho,1
336,2002-03-07,Battle-No change of territory,West Pokot,0
337,2002-03-07,Battle-No change of territory,Kakamega,2
338,2002-03-09,Riots/Protests,Embu,0
339,2002-03-10,Riots/Protests,Nakuru,0
340,2002-03-10,Violence against civilians,Nairobi,0
341,2002-04-02,Riots/Protests,Nairobi,0
342,2002-04-03,Violence against civilians,Nairobi,0
343,2002-04-06,Riots/Protests,Nairobi,0
344,2002-04-09,Violence against civilians,Isiolo,11
345,2002-04-09,Violence against civilians,Isiolo,6
346,2002-04-09,Battle-No change of territory,Isiolo,0
347,2002-04-10,Battle-No change of territory,Migori,0
348,2002-04-10,Battle-No change of territory,Migori,3
349,2002-05-03,Violence against civilians,Nairobi,20
350,2002-05-09,Riots/Protests,Nairobi,0
351,2002-05-12,Riots/Protests,Nandi,0
352,2002-06-03,Violence against civilians,Turkana,23
353,2002-06-06,Riots/Protests,Nairobi,0
354,2002-06-06,Violence against civilians,Machakos,0
355,2002-06-08,Riots/Protests,Nairobi,0
356,2002-06-09,Riots/Protests,Taita Taveta,0
357,2002-06-12,Violence against civilians,Migori,6
358,2002-07-06,Riots/Protests,Bomet,0
359,2002-07-06,Battle-No change of territory,Narok,3
360,2002-07-09,Battle-No change of territory,Turkana,2
361,2002-07-10,Riots/Protests,Nairobi,0
362,2002-07-10,Riots/Protests,Nairobi,0
363,2002-07-10,Violence against civilians,Kakamega,2
364,2002-07-10,Violence against civilians,Kakamega,0
365,2002-07-10,Violence against civilians,Nairobi,0
366,2002-07-10,Battle-No change of territory,Nairobi,0
367,2002-07-10,Battle-No change of territory,Nairobi,0
368,2002-07-10,Riots/Protests,Kakamega,0
369,2002-08-01,Riots/Protests,Nairobi,0
370,2002-08-01,Battle-No change of territory,Nakuru,15
371,2002-08-07,Violence against civilians,Turkana,3
372,2002-08-07,Violence against civilians,West Pokot,1
373,2002-08-07,Battle-No change of territory,West Pokot,2
374,2002-08-07,Battle-No change of territory,Turkana,7
375,2002-09-01,Violence against civilians,Nakuru,0
376,2002-09-06,Battle-No change of territory,Nyamira,2
377,2002-09-10,Riots/Protests,Nairobi,0
378,2002-09-10,Violence against civilians,Nyeri,1
379,2002-09-10,Violence against civilians,Laikipia,1
380,2002-09-10,Riots/Protests,Laikipia,1
381,2002-09-11,Violence against civilians,Turkana,2
382,2002-09-12,Battle-No change of territory,Kisii,0
383,2002-10-02,Violence against civilians,Migori,2
384,2002-10-02,Battle-No change of territory,Kakamega,0
385,2002-10-03,Riots/Protests,Muranga,0
386,2002-10-03,Battle-No change of territory,Kiambu,1
387,2002-10-06,Riots/Protests,Nyamira,0
388,2002-10-09,Violence against civilians,Makueni,10
389,2002-10-09,Violence against civilians,Turkana,11
390,2002-10-09,Violence against civilians,Turkana,11
391,2002-10-11,Violence against civilians,Turkana,3
392,2002-11-05,Violence against civilians,Kiambu,0
393,2002-11-06,Strategic development,Nairobi,0
394,2002-11-09,Battle-No change of territory,Kiambu,0
395,2002-11-10,Violence against civilians,Nyeri,0
396,2002-11-10,Violence against civilians,Laikipia,3
397,2002-11-12,Violence against civilians,Migori,1
398,2002-12-01,Violence against civilians,Nakuru,4
399,2002-12-01,Battle-No change of territory,Nakuru,1
400,2002-12-06,Riots/Protests,Migori,0
401,2002-12-09,Violence against civilians,Nairobi,1
402,2002-12-10,Battle-No change of territory,Nyeri,1
403,2003-01-01,Battle-No change of territory,Nakuru,1
404,2003-01-06,Battle-No change of territory,Nairobi,13
405,2003-01-07,Violence against civilians,Kisii,7
406,2003-01-08,Riots/Protests,Nairobi,0
407,2003-01-08,Riots/Protests,Kisumu,0
408,2003-01-08,Battle-No change of territory,Tana River,0
409,2003-01-10,Riots/Protests,Kiambu,0
410,2003-01-10,Riots/Protests,Nyeri,0
411,2003-01-11,Violence against civilians,Marsabit,3
412,2003-01-12,Riots/Protests,Kirinyaga,0
413,2003-02-01,Violence against civilians,Turkana,0
414,2003-02-01,Battle-No change of territory,Nakuru,2
415,2003-02-01,Battle-No change of territory,Nakuru,4
416,2003-02-03,Violence against civilians,Nairobi,3
417,2003-02-03,Riots/Protests,Nairobi,0
418,2003-02-05,Violence against civilians,Kisii,1
419,2003-02-06,Violence against civilians,Turkana,0
420,2003-02-06,Violence against civilians,Turkana,5
421,2003-02-06,Battle-No change of territory,Turkana,2
422,2003-02-08,Violence against civilians,Laikipia,1
423,2003-02-10,Riots/Protests,Nairobi,0
424,2003-02-10,Riots/Protests,Nairobi,0
425,2003-02-12,Riots/Protests,Mombasa,0
426,2003-03-01,Battle-No change of territory,Nakuru,13
427,2003-03-01,Battle-No change of territory,Nakuru,0
428,2003-03-02,Violence against civilians,Nairobi,0
429,2003-03-02,Battle-No change of territory,Nairobi,3
430,2003-03-02,Battle-No change of territory,Nairobi,0
431,2003-03-04,Violence against civilians,Turkana,2
432,2003-03-04,Violence against civilians,Turkana,0
433,2003-03-04,Violence against civilians,Turkana,2
434,2003-03-04,Violence against civilians,Turkana,2
435,2003-03-04,Battle-No change of territory,Turkana,0
436,2003-03-11,Riots/Protests,Nairobi,0
437,2003-03-11,Riots/Protests,Trans Nzoia,0
438,2003-03-11,Violence against civilians,Kiambu,6
439,2003-04-01,Riots/Protests,Nairobi,0
440,2003-04-01,Violence against civilians,Nairobi,1
441,2003-04-01,Violence against civilians,Nairobi,1
442,2003-04-01,Violence against civilians,Muranga,0
443,2003-04-01,Violence against civilians,Muranga,1
444,2003-04-01,Battle-No change of territory,Nakuru,0
445,2003-04-02,Battle-No change of territory,Nairobi,2
446,2003-04-12,Riots/Protests,Kirinyaga,0
447,2003-05-01,Violence against civilians,Muranga,1
448,2003-05-10,Riots/Protests,Kiambu,0
449,2003-06-07,Strategic development,Nakuru,0
450,2003-06-10,Riots/Protests,Taita Taveta,0
451,2003-06-11,Violence against civilians,Trans Nzoia,0
452,2003-07-01,Strategic development,Nairobi,1
453,2003-07-02,Battle-No change of territory,Nairobi,1
454,2003-07-03,Riots/Protests,Mombasa,0
455,2003-07-10,Riots/Protests,Nairobi,0
456,2003-07-10,Battle-No change of territory,Uasin Gishu,0
457,2003-08-03,Riots/Protests,Mombasa,0
458,2003-08-07,Riots/Protests,Kisii,0
459,2003-08-07,Violence against civilians,Kisii,2
460,2003-08-07,Violence against civilians,Kisii,0
461,2003-08-11,Riots/Protests,Nairobi,0
462,2003-08-12,Riots/Protests,Wajir,0
463,2003-08-12,Riots/Protests,Nairobi,0
464,2003-08-12,Violence against civilians,Kakamega,0
465,2003-09-01,Riots/Protests,Nairobi,0
466,2003-09-11,Violence against civilians,Nairobi,0
467,2003-10-01,Violence against civilians,Nairobi,2
468,2003-10-07,Riots/Protests,Kiambu,0
469,2003-10-07,Battle-No change of territory,Marsabit,0
470,2003-10-07,Remote violence,Marsabit,2
471,2003-10-11,Riots/Protests,Nakuru,0
472,2003-10-11,Riots/Protests,Uasin Gishu,0
473,2003-10-11,Riots/Protests,Kiambu,0
474,2003-10-11,Riots/Protests,Kisii,0
475,2003-10-11,Riots/Protests,Nakuru,0
476,2003-10-11,Riots/Protests,Laikipia,0
477,2003-10-11,Riots/Protests,Nairobi,0
478,2003-10-11,Riots/Protests,Vihiga,0
479,2003-10-11,Riots/Protests,Nairobi,0
480,2003-10-12,Riots/Protests,Nairobi,0
481,2003-10-12,Violence against civilians,Nairobi,0
482,2003-11-03,Violence against civilians,Nairobi,1
483,2003-11-10,Riots/Protests,Bomet,0
484,2003-12-07,Riots/Protests,Baringo,0
485,2003-12-07,Riots/Protests,Kakamega,0
486,2003-12-07,Violence against civilians,Turkana,3
487,2003-12-09,Violence against civilians,Nairobi,1
488,2003-12-11,Strategic development,Nyandarua,0
489,2003-12-12,Riots/Protests,Garissa,0
490,2004-01-04,Riots/Protests,Nyeri,0
491,2004-01-06,Riots/Protests,Nakuru,0
492,2004-01-06,Riots/Protests,Nakuru,0
493,2004-01-10,Riots/Protests,Turkana,0
494,2004-01-11,Violence against civilians,Narok,0
495,2004-01-11,Violence against civilians,Narok,0
496,2004-01-12,Violence against civilians,Taita Taveta,0
497,2004-02-03,Battle-No change of territory,Kajiado,1
498,2004-02-04,Riots/Protests,Nairobi,0
499,2004-02-04,Riots/Protests,Taita Taveta,0
500,2004-02-06,Riots/Protests,Nandi,0
501,2004-02-06,Riots/Protests,Nandi,0
502,2004-02-10,Riots/Protests,Machakos,0
503,2004-02-10,Battle-No change of territory,Nakuru,2
504,2004-03-07,Riots/Protests,Kisumu,0
505,2004-03-07,Riots/Protests,Nairobi,0
506,2004-03-07,Violence against civilians,Nairobi,0
507,2004-03-07,Violence against civilians,Kisumu,1
508,2004-03-09,Violence against civilians,Laikipia,0
509,2004-04-01,Violence against civilians,Turkana,3
510,2004-04-01,Violence against civilians,Turkana,2
511,2004-04-03,Riots/Protests,Nakuru,0
512,2004-04-05,Riots/Protests,Nairobi,0
513,2004-04-08,Violence against civilians,Samburu,2
514,2004-04-10,Violence against civilians,Nakuru,1
515,2004-04-10,Riots/Protests,Nakuru,0
516,2004-04-12,Riots/Protests,Nairobi,0
517,2004-05-03,Riots/Protests,Kitui,0
518,2004-05-05,Riots/Protests,Nairobi,0
519,2004-05-05,Riots/Protests,Nairobi,0
520,2004-05-06,Riots/Protests,Kisumu,0
521,2004-05-06,Riots/Protests,Kisumu,0
522,2004-05-11,Battle-No change of territory,Turkana,2
523,2004-05-12,Riots/Protests,Nairobi,0
524,2004-06-02,Violence against civilians,Turkana,8
525,2004-06-02,Battle-No change of territory,Turkana,2
526,2004-06-03,Riots/Protests,Nairobi,0
527,2004-06-05,Battle-No change of territory,Nairobi,1
528,2004-06-10,Riots/Protests,Tana River,0
529,2004-06-11,Riots/Protests,Nyeri,0
530,2004-06-12,Riots/Protests,Nairobi,0
531,2004-07-01,Riots/Protests,Nairobi,0
532,2004-07-02,Battle-No change of territory,Turkana,3
533,2004-07-07,Riots/Protests,Kisumu,0
534,2004-07-07,Violence against civilians,Kisumu,1
535,2004-07-08,Battle-No change of territory,Baringo,1
536,2004-08-06,Violence against civilians,Nairobi,1
537,2004-09-07,Violence against civilians,Turkana,4
538,2004-09-07,Battle-No change of territory,Turkana,2
539,2004-09-12,Riots/Protests,Machakos,0
540,2004-09-12,Riots/Protests,Nairobi,0
541,2004-09-12,Battle-No change of territory,Mombasa,0
542,2004-10-01,Battle-No change of territory,Nairobi,4
543,2004-10-01,Battle-No change of territory,Nairobi,2
544,2004-10-07,Violence against civilians,Mandera,56
545,2004-10-08,Battle-No change of territory,Nairobi,0
546,2004-10-10,Riots/Protests,Homa Bay,0
547,2004-10-11,Riots/Protests,Nairobi,0
548,2004-11-02,Violence against civilians,Turkana,0
549,2004-11-02,Battle-No change of territory,Turkana,30
